peso,altura,edad,objetivo,desayuno,almuerzo,merienda,cena
70,180,30,perder_peso, avena con leche descremada y frutas, ensalada de quinoa con vegetales y pechuga de pollo, yogur natural con nueces, pescado al horno con verduras asadas
60,165,20,mantener_peso, smoothie de frutas y tostada integral con palta, arroz integral con lentejas y vegetales, ensalada de frutas con semillas, sopa de vegetales con trozos de tofu
80,175,35,ganar_masa, tres huevos revueltos con espinaca, pasta integral con salsa de tomate y carne molida, batido de proteínas con leche de almendras, carne asada con papas al horno
55,160,28,perder_peso, yogur natural con granola y miel, ensalada de garbanzos con pepino y tomate, batido de espinaca con manzana y limón, salmón a la plancha con brócoli
65,170,22,mantener_peso, tostadas de pan integral con mantequilla de maní, wrap de pollo con verduras, barrita de cereal y frutos secos, ensalada de pollo con quinoa y espinacas
75,185,29,ganar_masa, tortillas de avena con plátano y miel, arroz con pollo y ensalada de col, smoothie de proteínas con frutos rojos, lasaña de carne con ensalada verde
50,155,24,perder_peso, claras de huevo revueltas con champiñones, ensalada de atún con lechuga y tomate, licuado de piña con espinaca, pechuga de pollo al grill con espárragos
68,172,27,mantener_peso, omelette de verduras con queso, sándwich de pavo en pan integral con lechuga y tomate, yogurt griego con frutas y miel, sopa de pollo con vegetales
78,180,32,ganar_masa, cereal con leche y plátano, burrito de carne con frijoles y arroz, batido de chocolate con proteínas, bistec con batatas y ensalada
52,160,26,perder_peso, smoothie verde con espinaca, manzana y jengibre, sopa de lentejas con zanahorias y espinaca, gelatina de frutas sin azúcar, pescado al vapor con ensalada de rúcula
50,170,25,ganar_masa, dos tostadas de pan lactal con queso descremado infución, ensalada de fideos con brocoli mas un bife, licuado de banana con leche y huevo revuelto, puré mixto con pollo
